fecha,BCV
Jan-17,17.6%
Feb-17,12.7%
Mar-17,10.4%
Apr-17,8.3%
May-17,11.7%
Jun-17,12.3%
Jul-17,13.7%
Aug-17,19.0%
Sep-17,26.1%
Oct-17,31.9%
Nov-17,38.3%
Dec-17,55.6%
Jan-18,66.0%
Feb-18,44.7%
Mar-18,40.9%
Apr-18,55.8%
May-18,110.3%
Jun-18,96.7%
Jul-18,81.4%
Aug-18,76.0%
Sep-18,127.7%
Oct-18,88.1%
Nov-18,123.2%
Dec-18,95.4%
Jan-19,196.6%
Feb-19,114.4%
Mar-19,34.8%
Apr-19,33.8%
May-19,39.5%
Jun-19,22.1%
Jul-19,19.4%
Aug-19,34.6%
Sep-19,52.2%
Oct-19,22.6%
Nov-19,25.7%
Dec-19,31.5%
Jan-20,62.2%
Feb-20,21.8%
Mar-20,13.3%
Apr-20,27.5%
May-20,38.6%
Jun-20,25.1%
Jul-20,19.6%
Aug-20,24.7%
Sep-20,27.9%
Oct-20,30.5%
Nov-20,40.0%
Dec-20,77.5%
